ID,Name,Eng-QAdvice,Eng-AI,Eng-GroupStyle,Eng-GroupFreq,Gen-QAdvice,Gen-AI,Gen-GroupStyle,Gen-GroupFreq,Gen-Subjects
25_01,中村 久博,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし
25_02,近藤 舞子,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学
25_03,松本 翔太,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理
25_04,田中 さくら,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,物理
25_05,阿部 和也,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,英語　理科　数学
25_06,山崎 紗季,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理
25_07,金子 陽菜,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理
25_08,門倉 耕三,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物
25_09,森田 舞子,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史
25_10,松田 舞子,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学
